Alpha测点数      Beta测点数
 1             11 
大气压        大气温度      来流温度      来流总压      来流静压      探针孔1       探针孔2       探针孔3       探针孔4       探针孔5       K_alpha       K_beta        Cpt           Cps           Alpha         Beta      探针温度
 95917.41      273.15        292.07        2649.78      -150.89        2393.57       2024.87      -548.39        .99           2.18         -0.001        -1.883        -0.400        0.392         0.0           -25.0          0 
 95915.26      273.15        292.06        2651.12      -151.37        2244.91       2257.76      -180.93        .76           4.47         -0.002        -1.394        -0.226        0.384         0.0           -20.0          0 
 95913.34      273.15        292.03        2650.64      -156.64        2040.86       2442.86       140.61        .08           4.47         -0.002        -1.002        -0.110        0.371         0.0           -15.0          0 
 95913.51      273.15        292           2641.93      -154.11        1779.1        2571.52       459.1         1.14         -1.41         0.001         -0.656        -0.035        0.355         0.0           -10.0          0 
 95916.59      273.15        291.99        2652.02      -153.11        1485.47       2626.84       778.06        0             4.47         -0.002        -0.343        -0.012        0.350         0.0           -5.0           0 
 95916.45      273.15        291.97        2653.66      -154.88        1160.45       2642.1        1090.03       3.66          4.47         0.000         -0.034        -0.006        0.346         0.0           0.0            0 
 95913.26      273.15        291.94        2646.5       -153.12        797.63        2635.69       1408.22       3.81          4.47         0.000         0.293         -0.005        0.339         0.0           5.0            0 
 95913.51      273.15        291.92        2656.9       -150.2         407.9         2601.66       1691.14       1.3           4.47         -0.002        0.618         -0.027        0.326         0.0           10.0           0 
 95913.51      273.15        291.9         2637.41      -154.88       -13.35         2509.04       1949.93       2.06          3.55         -0.001        0.970         -0.063        0.316         0.0           15.0           0 
 95913         273.15        291.89        2654.08      -155.96       -399.26        2360.72       2155          3.66          2.26         0.001         1.330         -0.153        0.311         0.0           20.0           0 
 95910.99      273.15        291.89        2652.93      -160.09       -762.74        2150.59       2332.02       2.37          4.47         -0.001        1.762         -0.286        0.315         0.0           25.0           0 
