采样时间：2026-05-30 12:13:15
采样频率：5120Hz
测点描述	<未描述>	<未描述>	<未描述>	
time[s]	AI1-1 [Pa]	AI1-2 [Pa]	AI1-3 [Pa]	
0	442.64047	315.01205	556.16931	
0.0002	484.81705	305.97858	638.69135	
0.00039	526.99359	335.94775	714.01105	
0.00059	593.76813	379.46713	674.2149	
0.00078	676.04602	405.65204	675.43567	
0.00098	739.70764	395.33676	738.66998	
0.00117	743.0647	416.82181	722.37311	
0.00137	689.16901	429.39542	740.86731	
0.00156	588.8241	427.19809	759.2395	
0.00176	456.00757	448.25586	695.39478	
0.00195	329.90509	417.43216	585.95538	
0.00215	246.77267	410.47394	498.24518	
0.00234	61.52531	411.57263	432.38623	
0.00254	40.77273	349.8642	457.47244	
0.00273	-19.83703	305.91754	480.23926	
0.00293	-235.96912	328.01294	479.99512	
0.00312	-43.39732	333.26212	497.94	
0.00332	132.81656	349.62006	510.63571	
0.00352	162.96884	447.3403	482.49762	
0.00371	138.12677	521.3172	505.63068	
0.00391	173.22305	588.39685	637.95892	
0.0041	341.38004	681.05109	644.97815	
0.0043	329.23367	735.37402	564.59241	
0.00449	376.11011	733.3598	536.88159	
0.00469	375.01144	694.47919	620.07507	
0.00488	318.18597	643.57434	646.99237	
0.00508	350.35248	618.73224	670.55267	
0.00527	342.96701	591.81494	702.35297	
0.00547	281.19754	523.8197	622.51654	
0.00566	171.69713	433.30179	560.99121	
0.00586	143.07077	328.68436	444.16638	
0.00605	124.39345	256.72171	356.02893	
0.00625	122.80648	276.49768	245.55193	
0.00645	206.79343	320.3833	241.03519	
0.00664	211.92053	334.54391	345.95782	
0.00684	241.40141	396.25232	345.1033	
0.00703	386.60849	451.18564	292.61148	
0.00723	504.83719	470.10712	296.27368	
0.00742	581.56073	525.46771	426.70981	
0.00762	638.08099	572.28308	500.86978	
0.00781	659.93225	592.97461	528.70264	
0.00801	632.09937	618.91534	429.57855	
0.0082	598.52899	633.01495	395.33676	
0.0084	556.23035	649.86115	380.6879	
0.00859	526.68842	682.51593	344.61502	
0.00879	503.8606	659.505	221.80853	
0.00898	430.67722	603.28992	-49.98932	
0.00918	363.4144	551.34741	-94.91257	
0.00938	310.73947	511.24606	-348.52139	
0.00957	259.22421	492.62979	-230.65889	
0.00977	200.07935	450.39215	-95.64501	
0.00996	133.61003	443.12875	-405.52997	
0.01016	98.08649	414.1972	-299.4476	
0.01035	159.91699	363.7196	-140.75137	
0.01055	257.82037	311.16672	-39.36888	
0.01074	380.871	235.17563	-18.92148	
0.01094	535.72192	144.65773	88.93094	
0.01113	609.51569	-17.6397	170.72054	
0.01133	666.82941	-106.81478	221.38127	
0.01152	704.7334	-122.13508	332.34656	
0.01172	721.1524	-90.63998	153.87433	
0.01191	723.59387	27.89392	55.78783	
0.01211	629.47479	118.28974	-27.16147	
0.0123	494.1557	79.4702	-146.67195	
0.0125	391.24728	16.78518	-129.21536	
0.0127	352.06152	53.52946	-209.54008	
0.01289	377.33084	120.97537	-385.87604	
0.01309	432.6304	217.35283	-403.51575	
0.01328	490.31036	308.48108	-185.06424	
0.01348	567.88843	378.85678	-137.88263	
0.01367	595.59924	434.52255	-223.0903	
0.01387	661.76337	449.59869	-104.06812	
0.01406	844.44714	477.55365	-45.77776	
0.01426	904.3855	533.76874	2.68563	
0.01445	843.22644	604.69373	109.25626	
0.01465	798.42523	647.60278	180.85269	
0.01484	786.3399	634.4798	164.31166	
0.01504	777.24542	619.83093	153.20291	
0.01523	716.9408	607.62354	227.60704	
0.01543	572.34412	595.96545	166.63106	
0.01562	466.38385	559.70947	107.97449	
0.01582	435.74329	487.13644	43.82458	
0.01602	362.19366	415.84521	-7.32444	
0.01621	404.37024	369.39603	8.60622	
0.01641	571.55066	400.46387	-22.03436	
0.0166	765.52631	490.79868	2.19733	
0.0168	885.95233	565.508	83.74279	
0.01699	861.4765	598.77313	109.98871	
0.01719	816.30908	649.06769	92.95938	
0.01738	753.74615	658.83356	26.06281	
0.01758	711.2644	675.00842	141.05655	
0.01777	723.41077	735.98438	359.50806	
0.01797	756.73694	797.26556	407.42209	
0.01816	753.25787	875.82019	451.30771	
0.01836	674.0318	822.47382	429.57855	
0.01855	546.22028	703.02441	426.4046	
0.01875	348.94864	634.96808	329.47781	
0.01895	115.23789	550.49286	194.95224	
0.01914	-7.14133	432.44727	123.29478	
0.01934	-131.901	360.97293	14.77096	
0.01953	-195.13535	385.20462	14.95407	
0.01973	-112.55226	417.31009	-33.50932	
0.01992	-25.26933	508.68253	-102.66427	
0.02012	180.97476	617.51154	-69.70428	
0.02031	237.55608	601.88605	23.37718	
0.02051	225.71489	696.79858	62.13568	
0.0207	353.8316	750.93842	125.85833	
0.0209	350.35248	680.62378	217.658	
0.02109	357.4938	654.37787	224.00586	
0.02129	364.08582	570.94025	239.63133	
0.02148	287.48434	608.11182	225.28764	
0.02168	265.99933	607.5625	164.5558	
0.02188	265.26688	499.64905	238.47163	
0.02207	238.8989	459.79187	214.91135	
0.02227	68.84975	351.75635	-37.17154	
0.02246	-73.24442	190.13031	-67.69006	
0.02266	-245.73503	21.42399	-112.85744	
0.02285	-303.10983	-22.46162	-236.70155	
0.02305	-288.88821	61.89154	-169.80499	
0.02324	-364.39099	0.91556	-173.65031	
0.02344	-121.95197	-24.2317	-228.40053	
0.02363	-158.4521	-51.9425	-172.00232	
0.02383	-166.57002	-100.8942	-122.92856	
0.02402	-50.84384	-89.41924	-159.85596	
0.02422	-98.2696	-256.5386	-147.03818	
0.02441	69.88739	-368.60257	-63.78368	
0.02461	34.36384	-403.21054	53.16324	
0.0248	-65.00443	-600.90942	126.77389	
0.025	22.5837	-626.91119	127.56737	
0.0252	192.0835	-220.52675	145.08499	
0.02539	321.60406	-46.69332	136.72292	
0.02559	440.50418	-93.14249	98.51375	
0.02578	368.54153	1.83111	45.04532	
0.02598	171.63609	-14.46577	23.19407	
0.02617	166.93625	50.23347	5.31022	
0.02637	138.85922	98.20856	-64.94339	
0.02656	168.8284	61.03702	-65.7979	
0.02676	288.522	85.26871	-126.40767	
0.02695	341.44107	40.71169	-122.98959	
0.02715	339.36581	120.30396	-69.46013	
0.02734	305.91754	231.20822	-37.96503	
0.02754	316.96524	242.13385	108.40175	
0.02773	443.55603	351.39011	218.1463	
0.02793	551.77466	364.14685	304.2085	
0.02812	579.60754	356.45618	290.8414	
0.02832	605.67035	263.37473	395.15366	
0.02852	617.08429	284.12732	491.71423	
0.02871	621.78412	559.89258	574.1142	
0.02891	583.26978	470.47333	724.81458	
0.0291	511.12399	402.11188	746.11652	
0.0293	450.33112	342.84494	805.56659	
0.02949	429.33438	193.79254	769.1275	
0.02969	411.14536	183.78247	763.8783	
0.02988	407.48312	94.79049	747.21521	
0.03008	425.48904	227.05771	761.25372	
0.03027	388.86685	339.42685	785.42438	
0.03047	395.45883	442.03009	741.17255	
0.03066	415.84521	614.33759	715.23181	
0.03086	415.60107	586.01642	630.75653	
0.03105	447.46237	628.43713	645.16132	
0.03125	467.54358	745.38409	621.29584	
0.03145	471.38889	838.16034	745.20099	
0.03164	495.25436	863.85693	856.53247	
0.03184	584.49048	834.62018	742.27118	
0.03203	662.61786	799.09668	683.24841	
0.03223	689.41315	755.57727	546.52545	
0.03242	674.76422	690.38971	510.81882	
0.03262	606.76898	601.70294	544.20605	
0.03281	531.32727	565.14178	460.28015	
0.03301	429.63959	578.99713	407.30002	
0.0332	366.64938	617.93878	402.84433	
0.0334	363.04819	702.90228	412.48816	
0.03359	418.10358	756.12659	417.55426	
0.03379	488.60135	748.55798	519.30298	
0.03398	536.69849	713.64484	508.31628	
0.03418	596.51477	628.5592	386.85263	
0.03438	600.23804	555.07068	417.43216	
0.03457	623.06592	536.94263	404.06506	
0.03477	683.49255	542.98529	400.15869	
0.03496	804.58997	505.81378	434.09528	
0.03516	977.99615	569.35333	436.59781	
0.03535	985.93097	601.2757	412.8544	
0.03555	806.78729	552.44604	295.17502	
0.03574	459.85291	469.98505	132.32826	
0.03594	246.95578	370.25055	92.47108	
0.03613	371.65442	311.10568	104.31226	
0.03633	328.74539	172.18542	79.28709	
0.03652	133.61003	351.51221	-9.64385	
0.03672	45.16739	482.68076	-88.62576	
0.03691	80.32471	369.8233	-1.89215	
0.03711	169.62187	364.20789	-28.38221	
0.0373	281.80792	294.01532	63.60057	
0.0375	397.65619	293.22183	135.31908	
0.0377	386.91367	316.35486	4.4557	
0.03789	416.76077	270.88229	-42.84799	
0.03809	483.71838	276.07043	-158.39107	
0.03828	601.2757	280.58719	-52.49184	
0.03848	556.47449	245.85712	111.20945	
0.03867	554.5213	216.86453	102.35908	
0.03887	592.36426	98.81893	151.55492	
0.03906	312.63162	37.41569	67.62902	
0.03926	240.54689	68.66665	-75.74694	
0.03945	142.09418	-7.93481	-189.9472	
0.03965	-16.17481	-143.437	-311.71606	
0.03984	-36.19495	-300.18005	-339.48788	
0.04004	-113.89508	-258.858	-269.29532	
0.04023	-54.81124	-110.78219	-70.49776	
0.04043	16.90726	-44.61806	101.32145	
0.04062	71.77953	30.15229	127.62841	
0.04082	112.79641	-13.91644	98.87997	
0.04102	105.28886	-122.19611	127.20115	
0.04121	152.04321	-94.30219	217.41386	
0.04141	204.41298	24.71999	292.67252	
0.0416	233.4666	114.44441	313.42508	
0.0418	115.29893	171.51402	331.431	
0.04199	107.24204	203.43639	370.00641	
0.04219	35.40147	277.96259	354.8082	
0.04238	-141.97211	307.9928	387.34091	
0.04258	-317.14835	246.34541	435.19394	
0.04277	-641.43805	204.59608	359.14182	
0.04297	-584.30737	150.45625	254.52437	
0.04316	-552.26294	118.96115	178.59431	
0.04336	-442.27423	93.69183	161.25981	
0.04355	-88.93094	163.3961	231.75757	
0.04375	-58.77865	281.62482	274.17828	
0.04395	-72.69509	298.40997	303.47604	
0.04414	-12.57363	251.83875	385.6319	
0.04434	109.92767	189.39787	478.10297	
0.04453	173.40617	270.33295	525.65082	
0.04473	192.57179	391.06418	488.78445	
0.04492	218.93979	462.23334	458.99838	
0.04512	257.14896	571.7948	515.2135	
0.04531	313.48611	600.177	553.97198	
0.04551	181.7072	598.28485	559.52637	
0.0457	48.46339	533.58563	612.75061	
0.0459	-2.99081	405.52997	647.35864	
0.04609	-25.33036	286.62985	614.33759	
0.04629	0.30519	185.85773	536.57642	
0.04648	-11.536	178.47224	472.54861	
0.04668	3.96741	174.19965	367.07663	
0.04688	97.35404	297.86066	299.87488	
0.04707	131.22958	460.28015	380.56583	
0.04727	163.27403	434.58359	517.22772	
0.04746	324.04553	317.45352	629.16962	
0.04766	393.01736	306.22272	689.10797	
0.04785	464.85794	322.39752	798.3642	
0.04805	599.32251	266.54868	838.34344	
0.04824	654.37787	318.55222	891.995	
0.04844	738.05963	265.20584	980.80383	
0.04863	738.05963	91.55553	994.84235	
0.04883	644.30676	64.69924	1023.896	
0.04902	538.04132	198.06512	949.67499	
0.04922	411.26743	195.13535	868.06848	
0.04941	314.70688	51.51524	750.08392	
0.04961	142.03314	37.47673	606.34174	
0.0498	158.14691	-2.25837	615.80249	
0.05	261.54364	32.47169	730.85724	
0.0502	208.38039	114.50545	800.19531	
0.05039	232.61208	93.08145	752.03711	
0.05059	221.44231	136.78397	750.63324	
0.05078	319.89502	203.98572	774.49872	
0.05098	357.67694	296.82303	739.52454	
0.05117	371.10507	317.39249	736.59473	
0.05137	368.23633	334.42181	758.38495	
0.05156	281.44168	412.36609	776.4519	
0.05176	204.10779	448.37793	811.05994	
0.05195	23.86547	603.90027	848.35352	
0.05215	129.15433	638.56927	845.66791	
0.05234	33.44829	603.41199	772.85071	
0.05254	-281.74689	570.75714	643.81848	
0.05273	-555.25378	435.43808	473.09793	
0.05293	-842.31085	341.13589	361.095	
0.05313	-1252.05237	281.74689	335.58154	
0.05332	-1501.75476	228.64467	380.80997	
0.05352	-1089.32764	134.03729	478.40814	
0.05371	-1000.03052	142.03314	561.11334	
0.05391	-811.30408	66.46931	496.90237	
0.0541	-259.77356	118.77804	444.95987	
0.0543	5.24918	367.87012	533.58563	
0.05449	207.52586	457.47244	654.49994	
0.05469	219.18393	490.3714	751.30469	
0.05488	164.73891	537.55304	688.9248	
0.05508	18.18903	672.13965	622.69965	
0.05527	30.39643	598.10175	626.17877	
0.05547	310.98361	490.18829	774.987	
0.05566	333.8725	441.0535	648.1521	
0.05586	163.76233	309.45767	363.78064	
0.05605	-163.76233	208.62453	279.06125	
0.05625	-411.20639	30.3354	125.85833	
0.05645	-341.99042	-79.89746	72.08472	
0.05664	-349.31485	-302.98776	-16.05274	
0.05684	-424.20728	-455.39719	111.20945	
0.05703	-388.92789	-225.22659	257.02689	
